ticker,period,revenue,net_income,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,cash,operating_cash_flow,operating_income,gross_profit,inventory
AKBNK,2024Q4,62160000000,18648000000,1154400000000,130240000000,1024160000000,436600000000,396640000000,56240000000,27972000000,21756000000,37296000000,0
AKBNK,2025Q1,55794816000,16738444800,1401903360000,158163456000,1243739904000,530207040000,481679616000,68297856000,25107667200,19528185600,33476889600,0
AKBNK,2025Q2,67281984000,20184595200,1455236640000,164180544000,1291056096000,550377960000,500004384000,70896144000,30276892800,23548694400,40369190400,0
ARCLK,2022Q1,45465116279,2500581395,98953488372,36372093023,62581395349,49209302326,38511627907,6418604651,3000697674,3864534884,12730232558,11639069767
ARCLK,2022Q2,54825581395,3015406977,102718023256,37755813953,64962209302,51081395349,39976744186,6662790698,3618488372,4660174419,15351162791,14569302326
ARCLK,2022Q3,61511627907,3383139535,105406976744,38744186047,66662790698,52418604651,41023255814,6837209302,4059767442,5228488372,17223255814,16773953488
ARCLK,2022Q4,66860465116,3677325581,107558139535,39534883721,68023255814,53488372093,41860465116,6976744186,4412790698,5683139535,18720930233,18604651163
ARCLK,2023Q1,78200000000,4301000000,170200000000,62560000000,107640000000,84640000000,66240000000,11040000000,5161200000,6647000000,21896000000,20019200000
ARCLK,2023Q2,94300000000,5186500000,176675000000,64940000000,111735000000,87860000000,68760000000,11460000000,6223800000,8015500000,26404000000,25059200000
ARCLK,2023Q3,105800000000,5819000000,181300000000,66640000000,114660000000,90160000000,70560000000,11760000000,6982800000,8993000000,29624000000,28851200000
ARCLK,2023Q4,115000000000,6325000000,185000000000,68000000000,117000000000,92000000000,72000000000,12000000000,7590000000,9775000000,32200000000,32000000000
ARCLK,2024Q1,115736000000,6365480000,251896000000,92588800000,159307200000,125267200000,98035200000,16339200000,7638576000,9837560000,32406080000,29628416000
ARCLK,2024Q2,139564000000,7676020000,261479000000,96111200000,165367800000,130032800000,101764800000,16960800000,9211224000,11862940000,39077920000,37087616000
ARCLK,2024Q3,156584000000,8612120000,268324000000,98627200000,169696800000,133436800000,104428800000,17404800000,10334544000,13309640000,43843520000,42699776000
ARCLK,2024Q4,170200000000,9361000000,273800000000,100640000000,173160000000,136160000000,106560000000,17760000000,11233200000,14467000000,47656000000,47360000000
ARCLK,2025Q1,152771520000,8402433600,332502720000,122217216000,210285504000,165352704000,129406464000,21567744000,10082920320,12985579200,42776025600,39109509120
ARCLK,2025Q2,184224480000,10132346400,345152280000,126866784000,218285496000,171643296000,134329536000,22388256000,12158815680,15659080800,51582854400,48955653120
ASELS,2022Q1,4941860465,741279070,13372093023,6686046512,6686046512,4680232558,2674418605,1337209302,889534884,889534884,1383720930,954767442
ASELS,2022Q2,5959302326,893895349,13880813953,6940406977,6940406977,4858284884,2776162791,1388081395,1072674419,1072674419,1668604651,1195138081
ASELS,2022Q3,6686046512,1002906977,14244186047,7122093023,7122093023,4985465116,2848837209,1424418605,1203488372,1203488372,1872093023,1375988372
ASELS,2022Q4,7267441860,1090116279,14534883721,7267441860,7267441860,5087209302,2906976744,1453488372,1308139535,1308139535,2034883721,1526162791
ASELS,2023Q1,8500000000,1275000000,23000000000,11500000000,11500000000,8050000000,4600000000,2300000000,1530000000,1530000000,2380000000,1642200000
ASELS,2023Q2,10250000000,1537500000,23875000000,11937500000,11937500000,8356250000,4775000000,2387500000,1845000000,1845000000,2870000000,2055637500
ASELS,2023Q3,11500000000,1725000000,24500000000,12250000000,12250000000,8575000000,4900000000,2450000000,2070000000,2070000000,3220000000,2366700000
ASELS,2023Q4,12500000000,1875000000,25000000000,12500000000,12500000000,8750000000,5000000000,2500000000,2250000000,2250000000,3500000000,2625000000
ASELS,2024Q1,12580000000,1887000000,34040000000,17020000000,17020000000,11914000000,6808000000,3404000000,2264400000,2264400000,3522400000,2430456000
ASELS,2024Q2,15170000000,2275500000,35335000000,17667500000,17667500000,12367250000,7067000000,3533500000,2730600000,2730600000,4247600000,3042343500
ASELS,2024Q3,17020000000,2553000000,36260000000,18130000000,18130000000,12691000000,7252000000,3626000000,3063600000,3063600000,4765600000,3502716000
ASELS,2024Q4,18500000000,2775000000,37000000000,18500000000,18500000000,12950000000,7400000000,3700000000,3330000000,3330000000,5180000000,3885000000
ASELS,2025Q1,16605600000,2490840000,44932800000,22466400000,22466400000,15726480000,8986560000,4493280000,2989008000,2989008000,4649568000,3208201920
ASELS,2025Q2,20024400000,3003660000,46642200000,23321100000,23321100000,16324770000,9328440000,4664220000,3604392000,3604392000,5606832000,4015893420
BIMAS,2022Q1,25697674419,899418605,17116279070,6418604651,10697674419,9627906977,8023255814,1872093023,1349127907,1541860465,4625581395,3273488372
BIMAS,2022Q2,30988372093,1084593023,17767441860,6662790698,11104651163,9994186047,8328488372,1943313953,1626889535,1859302326,5577906977,4097616279
BIMAS,2022Q3,34767441860,1216860465,18232558140,6837209302,11395348837,10255813953,8546511628,1994186047,1825290698,2086046512,6258139535,4717674419
BIMAS,2022Q4,37790697674,1322674419,18604651163,6976744186,11627906977,10465116279,8720930233,2034883721,1984011628,2267441860,6802325581,5232558140
BIMAS,2023Q1,44200000000,1547000000,29440000000,11040000000,18400000000,16560000000,13800000000,3220000000,2320500000,2652000000,7956000000,5630400000
BIMAS,2023Q2,53300000000,1865500000,30560000000,11460000000,19100000000,17190000000,14325000000,3342500000,2798250000,3198000000,9594000000,7047900000
BIMAS,2023Q3,59800000000,2093000000,31360000000,11760000000,19600000000,17640000000,14700000000,3430000000,3139500000,3588000000,10764000000,8114400000
BIMAS,2023Q4,65000000000,2275000000,32000000000,12000000000,20000000000,18000000000,15000000000,3500000000,3412500000,3900000000,11700000000,9000000000
BIMAS,2024Q1,65416000000,2289560000,43571200000,16339200000,27232000000,24508800000,20424000000,4765600000,3434340000,3924960000,11774880000,8332992000
BIMAS,2024Q2,78884000000,2760940000,45228800000,16960800000,28268000000,25441200000,21201000000,4946900000,4141410000,4733040000,14199120000,10430892000
BIMAS,2024Q3,88504000000,3097640000,46412800000,17404800000,29008000000,26107200000,21756000000,5076400000,4646460000,5310240000,15930720000,12009312000
BIMAS,2024Q4,96200000000,3367000000,47360000000,17760000000,29600000000,26640000000,22200000000,5180000000,5050500000,5772000000,17316000000,13320000000
BIMAS,2025Q1,86349120000,3022219200,57513984000,21567744000,35946240000,32351616000,26959680000,6290592000,4533328800,5180947200,15542841600,10999549440
BIMAS,2025Q2,104126880000,3644440800,59702016000,22388256000,37313760000,33582384000,27985320000,6529908000,5466661200,6247612800,18742838400,13768777440
ENKAI,2022Q1,28465116279,5693023256,109651162791,77558139535,32093023256,33162790698,11767441860,14976744186,6262325581,6546976744,10816744186,1636744186
ENKAI,2022Q2,34325581395,6865116279,113822674419,80508720930,33313953488,34424418605,12215116279,15546511628,7551627907,7894883721,13043720930,2048808140
ENKAI,2022Q3,38511627907,7702325581,116802325581,82616279070,34186046512,35325581395,12534883721,15953488372,8472558140,8857674419,14634418605,2358837209
ENKAI,2022Q4,41860465116,8372093023,119186046512,84302325581,34883720930,36046511628,12790697674,16279069767,9209302326,9627906977,15906976744,2616279070
ENKAI,2023Q1,48960000000,9792000000,188600000000,133400000000,55200000000,57040000000,20240000000,25760000000,10771200000,11260800000,18604800000,2815200000
ENKAI,2023Q2,59040000000,11808000000,195775000000,138475000000,57300000000,59210000000,21010000000,26740000000,12988800000,13579200000,22435200000,3523950000
ENKAI,2023Q3,66240000000,13248000000,200900000000,142100000000,58800000000,60760000000,21560000000,27440000000,14572800000,15235200000,25171200000,4057200000
ENKAI,2023Q4,72000000000,14400000000,205000000000,145000000000,60000000000,62000000000,22000000000,28000000000,15840000000,16560000000,27360000000,4500000000
ENKAI,2024Q1,72460800000,14492160000,279128000000,197432000000,81696000000,84419200000,29955200000,38124800000,15941376000,16665984000,27535104000,4166496000
ENKAI,2024Q2,87379200000,17475840000,289747000000,204943000000,84804000000,87630800000,31094800000,39575200000,19223424000,20097216000,33204096000,5215446000
ENKAI,2024Q3,98035200000,19607040000,297332000000,210308000000,87024000000,89924800000,31908800000,40611200000,21567744000,22548096000,37253376000,6004656000
ENKAI,2024Q4,106560000000,21312000000,303400000000,214600000000,88800000000,91760000000,32560000000,41440000000,23443200000,24508800000,40492800000,6660000000
ENKAI,2025Q1,95648256000,19129651200,368448960000,260610240000,107838720000,111433344000,39540864000,50324736000,21042616320,21999098880,36346337280,5499774720
ENKAI,2025Q2,115340544000,23068108800,382466040000,270524760000,111941280000,115672656000,41045136000,52239264000,25374919680,26528325120,43829406720,6884388720
EREGL,2022Q1,16604651163,2490697674,45465116279,27813953488,17651162791,14976744186,7488372093,5081395349,2988837209,2822790698,3985116279,3564465116
EREGL,2022Q2,20023255814,3003488372,47194767442,28872093023,18322674419,15546511628,7773255814,5274709302,3604186047,3403953488,4805581395,4461848837
EREGL,2022Q3,22465116279,3369767442,48430232558,29627906977,18802325581,15953488372,7976744186,5412790698,4043720930,3819069767,5391627907,5137023256
EREGL,2022Q4,24418604651,3662790698,49418604651,30232558140,19186046512,16279069767,8139534884,5523255814,4395348837,4151162791,5860465116,5697674419
EREGL,2023Q1,28560000000,4284000000,78200000000,47840000000,30360000000,25760000000,12880000000,8740000000,5140800000,4855200000,6854400000,6130880000
EREGL,2023Q2,34440000000,5166000000,81175000000,49660000000,31515000000,26740000000,13370000000,9072500000,6199200000,5854800000,8265600000,7674380000
EREGL,2023Q3,38640000000,5796000000,83300000000,50960000000,32340000000,27440000000,13720000000,9310000000,6955200000,6568800000,9273600000,8835680000
EREGL,2023Q4,42000000000,6300000000,85000000000,52000000000,33000000000,28000000000,14000000000,9500000000,7560000000,7140000000,10080000000,9800000000
EREGL,2024Q1,42268800000,6340320000,115736000000,70803200000,44932800000,38124800000,19062400000,12935200000,7608384000,7185696000,10144512000,9073702400
EREGL,2024Q2,50971200000,7645680000,120139000000,73496800000,46642200000,39575200000,19787600000,13427300000,9174816000,8665104000,12233088000,11358082400
EREGL,2024Q3,57187200000,8578080000,123284000000,75420800000,47863200000,40611200000,20305600000,13778800000,10293696000,9721824000,13724928000,13076806400
EREGL,2024Q4,62160000000,9324000000,125800000000,76960000000,48840000000,41440000000,20720000000,14060000000,11188800000,10567200000,14918400000,14504000000
EREGL,2025Q1,55794816000,8369222400,152771520000,93460224000,59311296000,50324736000,25162368000,17074464000,10043066880,9485118720,13390755840,11977287168
EREGL,2025Q2,67281984000,10092297600,158583480000,97015776000,61567704000,52239264000,26119632000,17724036000,12110757120,11437937280,16147676160,14992668768
FROTO,2022Q1,21744186047,2609302326,50813953488,20325581395,30488372093,17116279070,11767441860,4279069767,3913953488,3044186047,4348837209,4655627907
FROTO,2022Q2,26220930233,3146511628,52747093023,21098837209,31648255814,17767441860,12215116279,4441860465,4719767442,3670930233,5244186047,5827720930
FROTO,2022Q3,29418604651,3530232558,54127906977,21651162791,32476744186,18232558140,12534883721,4558139535,5295348837,4118604651,5883720930,6709581395
FROTO,2022Q4,31976744186,3837209302,55232558140,22093023256,33139534884,18604651163,12790697674,4651162791,5755813953,4476744186,6395348837,7441860465
FROTO,2023Q1,37400000000,4488000000,87400000000,34960000000,52440000000,29440000000,20240000000,7360000000,6732000000,5236000000,7480000000,8007680000
FROTO,2023Q2,45100000000,5412000000,90725000000,36290000000,54435000000,30560000000,21010000000,7640000000,8118000000,6314000000,9020000000,10023680000
FROTO,2023Q3,50600000000,6072000000,93100000000,37240000000,55860000000,31360000000,21560000000,7840000000,9108000000,7084000000,10120000000,11540480000
FROTO,2023Q4,55000000000,6600000000,95000000000,38000000000,57000000000,32000000000,22000000000,8000000000,9900000000,7700000000,11000000000,12800000000
FROTO,2024Q1,55352000000,6642240000,129352000000,51740800000,77611200000,43571200000,29955200000,10892800000,9963360000,7749280000,11070400000,11851366400
FROTO,2024Q2,66748000000,8009760000,134273000000,53709200000,80563800000,45228800000,31094800000,11307200000,12014640000,9344720000,13349600000,14835046400
FROTO,2024Q3,74888000000,8986560000,137788000000,55115200000,82672800000,46412800000,31908800000,11603200000,13479840000,10484320000,14977600000,17079910400
FROTO,2024Q4,81400000000,9768000000,140600000000,56240000000,84360000000,47360000000,32560000000,11840000000,14652000000,11396000000,16280000000,18944000000
FROTO,2025Q1,73064640000,8767756800,170744640000,68297856000,102446784000,57513984000,39540864000,14378496000,13151635200,10229049600,14612928000,15643803648
FROTO,2025Q2,88107360000,10572883200,177240360000,70896144000,106344216000,59702016000,41045136000,14925504000,15859324800,12335030400,17621472000,19582261248
GARAN,2022Q1,18976744186,5693023256,454651162791,50813953488,403837209302,171162790698,155116279070,24069767442,8539534884,6641860465,11386046512,0
GARAN,2022Q2,22883720930,6865116279,471947674419,52747093023,419200581395,177674418605,161017441860,24985465116,10297674419,8009302326,13730232558,0
GARAN,2022Q3,25674418605,7702325581,484302325581,54127906977,430174418605,182325581395,165232558140,25639534884,11553488372,8986046512,15404651163,0
GARAN,2022Q4,27906976744,8372093023,494186046512,55232558140,438953488372,186046511628,168604651163,26162790698,12558139535,9767441860,16744186047,0
GARAN,2023Q1,32640000000,9792000000,782000000000,87400000000,694600000000,294400000000,266800000000,41400000000,14688000000,11424000000,19584000000,0
GARAN,2023Q2,39360000000,11808000000,811750000000,90725000000,721025000000,305600000000,276950000000,42975000000,17712000000,13776000000,23616000000,0
GARAN,2023Q3,44160000000,13248000000,833000000000,93100000000,739900000000,313600000000,284200000000,44100000000,19872000000,15456000000,26496000000,0
GARAN,2023Q4,48000000000,14400000000,850000000000,95000000000,755000000000,320000000000,290000000000,45000000000,21600000000,16800000000,28800000000,0
GARAN,2024Q1,48307200000,14492160000,1157360000000,129352000000,1028008000000,435712000000,394864000000,61272000000,21738240000,16907520000,28984320000,0
GARAN,2024Q2,58252800000,17475840000,1201390000000,134273000000,1067117000000,452288000000,409886000000,63603000000,26213760000,20388480000,34951680000,0
GARAN,2024Q3,65356800000,19607040000,1232840000000,137788000000,1095052000000,464128000000,420616000000,65268000000,29410560000,22874880000,39214080000,0
GARAN,2024Q4,71040000000,21312000000,1258000000000,140600000000,1117400000000,473600000000,429200000000,66600000000,31968000000,24864000000,42624000000,0
GARAN,2025Q1,63765504000,19129651200,1527715200000,170744640000,1356970560000,575139840000,521220480000,80879040000,28694476800,22317926400,38259302400,0
GARAN,2025Q2,76893696000,23068108800,1585834800000,177240360000,1408594440000,597020160000,541049520000,83955960000,34602163200,26912793600,46136217600,0
KCHOL,2022Q1,112674418605,11267441860,347674418605,112325581395,235348837209,64186046512,48139534884,18720930233,16901162791,13520930233,22534883721,6546976744
KCHOL,2022Q2,135872093023,13587209302,360901162791,116598837209,244302325581,66627906977,49970930233,19433139535,20380813953,16304651163,27174418605,8195232558
KCHOL,2022Q3,152441860465,15244186047,370348837209,119651162791,250697674419,68372093023,51279069767,19941860465,22866279070,18293023256,30488372093,9435348837
KCHOL,2022Q4,165697674419,16569767442,377906976744,122093023256,255813953488,69767441860,52325581395,20348837209,24854651163,19883720930,33139534884,10465116279
KCHOL,2023Q1,193800000000,19380000000,598000000000,193200000000,404800000000,110400000000,82800000000,32200000000,29070000000,23256000000,38760000000,11260800000
KCHOL,2023Q2,233700000000,23370000000,620750000000,200550000000,420200000000,114600000000,85950000000,33425000000,35055000000,28044000000,46740000000,14095800000
KCHOL,2023Q3,262200000000,26220000000,637000000000,205800000000,431200000000,117600000000,88200000000,34300000000,39330000000,31464000000,52440000000,16228800000
KCHOL,2023Q4,285000000000,28500000000,650000000000,210000000000,440000000000,120000000000,90000000000,35000000000,42750000000,34200000000,57000000000,18000000000
KCHOL,2024Q1,286824000000,28682400000,885040000000,285936000000,599104000000,163392000000,122544000000,47656000000,43023600000,34418880000,57364800000,16665984000
KCHOL,2024Q2,345876000000,34587600000,918710000000,296814000000,621896000000,169608000000,127206000000,49469000000,51881400000,41505120000,69175200000,20861784000
KCHOL,2024Q3,388056000000,38805600000,942760000000,304584000000,638176000000,174048000000,130536000000,50764000000,58208400000,46566720000,77611200000,24018624000
KCHOL,2024Q4,421800000000,42180000000,962000000000,310800000000,651200000000,177600000000,133200000000,51800000000,63270000000,50616000000,84360000000,26640000000
KCHOL,2025Q1,378607680000,37860768000,1168252800000,377435520000,790817280000,215677440000,161758080000,62905920000,56791152000,45432921600,75721536000,21999098880
KCHOL,2025Q2,456556320000,45655632000,1212697200000,391794480000,820902720000,223882560000,167911920000,65299080000,68483448000,54786758400,91311264000,27537554880
KRDMD,2022Q1,11069767442,1217674419,29418604651,14976744186,14441860465,9627906977,6418604651,2406976744,1461209302,1549767442,2435348837,2727906977
KRDMD,2022Q2,13348837209,1468372093,30537790698,15546511628,14991279070,9994186047,6662790698,2498546512,1762046512,1868837209,2936744186,3414680233
KRDMD,2022Q3,14976744186,1647441860,31337209302,15953488372,15383720930,10255813953,6837209302,2563953488,1976930233,2096744186,3294883721,3931395349
KRDMD,2022Q4,16279069767,1790697674,31976744186,16279069767,15697674419,10465116279,6976744186,2616279070,2148837209,2279069767,3581395349,4360465116
KRDMD,2023Q1,19040000000,2094400000,50600000000,25760000000,24840000000,16560000000,11040000000,4140000000,2513280000,2665600000,4188800000,4692000000
KRDMD,2023Q2,22960000000,2525600000,52525000000,26740000000,25785000000,17190000000,11460000000,4297500000,3030720000,3214400000,5051200000,5873250000
KRDMD,2023Q3,25760000000,2833600000,53900000000,27440000000,26460000000,17640000000,11760000000,4410000000,3400320000,3606400000,5667200000,6762000000
KRDMD,2023Q4,28000000000,3080000000,55000000000,28000000000,27000000000,18000000000,12000000000,4500000000,3696000000,3920000000,6160000000,7500000000
KRDMD,2024Q1,28179200000,3099712000,74888000000,38124800000,36763200000,24508800000,16339200000,6127200000,3719654400,3945088000,6199424000,6944160000
KRDMD,2024Q2,33980800000,3737888000,77737000000,39575200000,38161800000,25441200000,16960800000,6360300000,4485465600,4757312000,7475776000,8692410000
KRDMD,2024Q3,38124800000,4193728000,79772000000,40611200000,39160800000,26107200000,17404800000,6526800000,5032473600,5337472000,8387456000,10007760000
KRDMD,2024Q4,41440000000,4558400000,81400000000,41440000000,39960000000,26640000000,17760000000,6660000000,5470080000,5801600000,9116800000,11100000000
KRDMD,2025Q1,37196544000,4091619840,98852160000,50324736000,48527424000,32351616000,21567744000,8087904000,4909943808,5207516160,8183239680,9166291200
KRDMD,2025Q2,44854656000,4934012160,102612840000,52239264000,50373576000,33582384000,22388256000,8395596000,5920814592,6279651840,9868024320,11473981200
LOGO,2022Q1,1779069767,391395349,5081395349,3476744186,1604651163,2781395349,1497674419,1176744186,469674419,480348837,1245348837,0
LOGO,2022Q2,2145348837,471976744,5274709302,3609011628,1665697674,2887209302,1554651163,1221511628,566372093,579244186,1501744186,0
LOGO,2022Q3,2406976744,529534884,5412790698,3703488372,1709302326,2962790698,1595348837,1253488372,635441860,649883721,1684883721,0
LOGO,2022Q4,2616279070,575581395,5523255814,3779069767,1744186047,3023255814,1627906977,1279069767,690697674,706395349,1831395349,0
LOGO,2023Q1,3060000000,673200000,8740000000,5980000000,2760000000,4784000000,2576000000,2024000000,807840000,826200000,2142000000,0
LOGO,2023Q2,3690000000,811800000,9072500000,6207500000,2865000000,4966000000,2674000000,2101000000,974160000,996300000,2583000000,0
LOGO,2023Q3,4140000000,910800000,9310000000,6370000000,2940000000,5096000000,2744000000,2156000000,1092960000,1117800000,2898000000,0
LOGO,2023Q4,4500000000,990000000,9500000000,6500000000,3000000000,5200000000,2800000000,2200000000,1188000000,1215000000,3150000000,0
LOGO,2024Q1,4528800000,996336000,12935200000,8850400000,4084800000,7080320000,3812480000,2995520000,1195603200,1222776000,3170160000,0
LOGO,2024Q2,5461200000,1201464000,13427300000,9187100000,4240200000,7349680000,3957520000,3109480000,1441756800,1474524000,3822840000,0
LOGO,2024Q3,6127200000,1347984000,13778800000,9427600000,4351200000,7542080000,4061120000,3190880000,1617580800,1654344000,4289040000,0
LOGO,2024Q4,6660000000,1465200000,14060000000,9620000000,4440000000,7696000000,4144000000,3256000000,1758240000,1798200000,4662000000,0
LOGO,2025Q1,5978016000,1315163520,17074464000,11682528000,5391936000,9346022400,5032473600,3954086400,1578196224,1614064320,4184611200,0
LOGO,2025Q2,7208784000,1585932480,17724036000,12126972000,5597064000,9701577600,5223926400,4104513600,1903118976,1946371680,5046148800,0
MGROS,2022Q1,30837209302,925116279,22465116279,8023255814,14441860465,11767441860,10162790698,2406976744,1480186047,1696046512,6167441860,4000930233
MGROS,2022Q2,37186046512,1115581395,23319767442,8328488372,14991279070,12215116279,10549418605,2498546512,1784930233,2045232558,7437209302,5008197674
MGROS,2022Q3,41720930233,1251627907,23930232558,8546511628,15383720930,12534883721,10825581395,2563953488,2002604651,2294651163,8344186047,5766046512
MGROS,2022Q4,45348837209,1360465116,24418604651,8720930233,15697674419,12790697674,11046511628,2616279070,2176744186,2494186047,9069767442,6395348837
MGROS,2023Q1,53040000000,1591200000,38640000000,13800000000,24840000000,20240000000,17480000000,4140000000,2545920000,2917200000,10608000000,6881600000
MGROS,2023Q2,63960000000,1918800000,40110000000,14325000000,25785000000,21010000000,18145000000,4297500000,3070080000,3517800000,12792000000,8614100000
MGROS,2023Q3,71760000000,2152800000,41160000000,14700000000,26460000000,21560000000,18620000000,4410000000,3444480000,3946800000,14352000000,9917600000
MGROS,2023Q4,78000000000,2340000000,42000000000,15000000000,27000000000,22000000000,19000000000,4500000000,3744000000,4290000000,15600000000,11000000000
MGROS,2024Q1,78499200000,2354976000,57187200000,20424000000,36763200000,29955200000,25870400000,6127200000,3767961600,4317456000,15699840000,10184768000
MGROS,2024Q2,94660800000,2839824000,59362800000,21201000000,38161800000,31094800000,26854600000,6360300000,4543718400,5206344000,18932160000,12748868000
MGROS,2024Q3,106204800000,3186144000,60916800000,21756000000,39160800000,31908800000,27557600000,6526800000,5097830400,5841264000,21240960000,14678048000
MGROS,2024Q4,115440000000,3463200000,62160000000,22200000000,39960000000,32560000000,28120000000,6660000000,5541120000,6349200000,23088000000,16280000000
MGROS,2025Q1,103618944000,3108568320,75487104000,26959680000,48527424000,39540864000,34148928000,8087904000,4973709312,5699041920,20723788800,13443893760
MGROS,2025Q2,124952256000,3748567680,78358896000,27985320000,50373576000,41045136000,35448072000,8395596000,5997708288,6872374080,24990451200,16828505760
PETKM,2022Q1,25697674419,2055813953,50813953488,22465116279,28348837209,17116279070,14976744186,4546511628,2878139535,2826744186,4625581395,5092093023
PETKM,2022Q2,30988372093,2479069767,52747093023,23319767442,29427325581,17767441860,15546511628,4719476744,3470697674,3408720930,5577906977,6374069767
PETKM,2022Q3,34767441860,2781395349,54127906977,23930232558,30197674419,18232558140,15953488372,4843023256,3893953488,3824418605,6258139535,7338604651
PETKM,2022Q4,37790697674,3023255814,55232558140,24418604651,30813953488,18604651163,16279069767,4941860465,4232558140,4156976744,6802325581,8139534884
PETKM,2023Q1,44200000000,3536000000,87400000000,38640000000,48760000000,29440000000,25760000000,7820000000,4950400000,4862000000,7956000000,8758400000
PETKM,2023Q2,53300000000,4264000000,90725000000,40110000000,50615000000,30560000000,26740000000,8117500000,5969600000,5863000000,9594000000,10963400000
PETKM,2023Q3,59800000000,4784000000,93100000000,41160000000,51940000000,31360000000,27440000000,8330000000,6697600000,6578000000,10764000000,12622400000
PETKM,2023Q4,65000000000,5200000000,95000000000,42000000000,53000000000,32000000000,28000000000,8500000000,7280000000,7150000000,11700000000,14000000000
PETKM,2024Q1,65416000000,5233280000,129352000000,57187200000,72164800000,43571200000,38124800000,11573600000,7326592000,7195760000,11774880000,12962432000
PETKM,2024Q2,78884000000,6310720000,134273000000,59362800000,74910200000,45228800000,39575200000,12013900000,8835008000,8677240000,14199120000,16225832000
PETKM,2024Q3,88504000000,7080320000,137788000000,60916800000,76871200000,46412800000,40611200000,12328400000,9912448000,9735440000,15930720000,18681152000
PETKM,2024Q4,96200000000,7696000000,140600000000,62160000000,78440000000,47360000000,41440000000,12580000000,10774400000,10582000000,17316000000,20720000000
PETKM,2025Q1,86349120000,6907929600,170744640000,75487104000,95257536000,57513984000,50324736000,15277152000,9671101440,9498403200,15542841600,17110410240
