source_id,provider,product_or_document_id,source_title,source_url_or_stable_id,coverage_year,coverage_period,effective_date,access_date_utc,access_method,access_class,raw_filename,raw_sha256,raw_bytes,raw_storage_class,archive_symbol,record_type,ticker_or_share_code,company_name,index_code,membership_semantics,identity_status,provenance_status,notes
BM-011,Borsa Istanbul,3184#3617594,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2025,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2025.zip,NA,68340,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-07-2025; provider 'date' field 30-12-2025; raw_bytes is provider-declared and unverified (file not downloaded).
BM-012,Borsa Istanbul,3184#3502330,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2025,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2025.zip,NA,67819,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 29-04-2025; provider 'date' field 30-12-2025; raw_bytes is provider-declared and unverified (file not downloaded).
BM-013,Borsa Istanbul,3184#3297745,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2025,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2025.zip,NA,65793,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 02-01-2025; provider 'date' field 30-12-2025; raw_bytes is provider-declared and unverified (file not downloaded).
BM-014,Borsa Istanbul,3184#3107757,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2024,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2024.zip,NA,67802,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-10-2024; provider 'date' field 30-12-2024; raw_bytes is provider-declared and unverified (file not downloaded).
BM-015,Borsa Istanbul,3184#2954626,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2024,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2024.zip,NA,66450,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-07-2024; provider 'date' field 30-12-2024; raw_bytes is provider-declared and unverified (file not downloaded).
BM-016,Borsa Istanbul,3184#2822974,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2024,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2024.zip,NA,65271,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-04-2024; provider 'date' field 30-12-2024; raw_bytes is provider-declared and unverified (file not downloaded).
BM-017,Borsa Istanbul,3184#2677835,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2024,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2024.zip,NA,64291,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 02-01-2024; provider 'date' field 30-12-2024; raw_bytes is provider-declared and unverified (file not downloaded).
BM-018,Borsa Istanbul,3184#2532791,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2023,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2023.zip,NA,65416,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 02-10-2023; provider 'date' field 30-12-2023; raw_bytes is provider-declared and unverified (file not downloaded).
BM-019,Borsa Istanbul,3184#2391008,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2023,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2023.zip,NA,64015,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 03-07-2023; provider 'date' field 30-12-2023; raw_bytes is provider-declared and unverified (file not downloaded).
BM-020,Borsa Istanbul,3184#2258783,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2023,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2023.zip,NA,62811,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 03-04-2023; provider 'date' field 30-12-2023; raw_bytes is provider-declared and unverified (file not downloaded).
BM-021,Borsa Istanbul,3184#2113081,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2023,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2023.zip,NA,71587,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 02-01-2023; provider 'date' field 30-12-2023; raw_bytes is provider-declared and unverified (file not downloaded).
BM-022,Borsa Istanbul,3184#1967272,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2022,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2022.zip,NA,62090,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 03-10-2022; provider 'date' field 30-12-2022; raw_bytes is provider-declared and unverified (file not downloaded).
BM-023,Borsa Istanbul,3184#1837933,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2022,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2022.zip,NA,60015,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-07-2022; provider 'date' field 30-12-2022; raw_bytes is provider-declared and unverified (file not downloaded).
BM-024,Borsa Istanbul,3184#1724962,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2022,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2022.zip,NA,58766,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-04-2022; provider 'date' field 30-12-2022; raw_bytes is provider-declared and unverified (file not downloaded).
BM-025,Borsa Istanbul,3184#1610981,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2022,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2022.zip,NA,54862,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 04-01-2022; provider 'date' field 30-12-2022; raw_bytes is provider-declared and unverified (file not downloaded).
BM-026,Borsa Istanbul,3184#1505891,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2021,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2021.zip,NA,59632,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-10-2021; provider 'date' field 30-12-2021; raw_bytes is provider-declared and unverified (file not downloaded).
BM-027,Borsa Istanbul,3184#1421780,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2021,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2021.zip,NA,59330,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-07-2021; provider 'date' field 30-12-2021; raw_bytes is provider-declared and unverified (file not downloaded).
BM-028,Borsa Istanbul,3184#1408006,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2021,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2021.zip,NA,58206,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 17-06-2021; provider 'date' field 30-12-2021; raw_bytes is provider-declared and unverified (file not downloaded).
BM-029,Borsa Istanbul,3184#1314300,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2021,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2021.zip,NA,55827,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-04-2021; provider 'date' field 30-12-2021; raw_bytes is provider-declared and unverified (file not downloaded).
BM-030,Borsa Istanbul,3184#1225668,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2021,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2021.zip,NA,54757,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 04-01-2021; provider 'date' field 30-12-2021; raw_bytes is provider-declared and unverified (file not downloaded).
BM-031,Borsa Istanbul,3184#1132521,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2020,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2020.zip,NA,58631,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-10-2020; provider 'date' field 30-12-2020; raw_bytes is provider-declared and unverified (file not downloaded).
