arm,carrier,ic_injected,checkpoint,checkpoint_role,checkpoint_description,mean_ic,sd_ic,p05_ic,p95_ic,background_ic,background_dominated,background_adjusted_ic_heuristic,background_adjusted_ratio_heuristic,mean_ratio_to_injected,sd_ratio_to_injected,ratio_suppressed_reason
primary,equity,0.20000000000000001,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.136641167329,0.031322969360000001,0.092856876840000005,0.19410289066899999,0.090871241231000002,False,0.045769926097999999,0.22884963049000001,0.68320583664500001,0.15661484680099999,
primary,equity,0.29999999999999999,ic_injected,design_constant,intended injected IC (design constant theta),0.29999999999999999,0,0.29999999999999999,0.29999999999999999,0,False,0.29999999999999999,,,,injected design constant — ratio to itself not interpreted
primary,equity,0.29999999999999999,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.30035196025900002,0.055117318821000003,0.21664686114600001,0.388255532776,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.29999999999999999,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.30035196025900002,0.055117318821000003,0.21664686114600001,0.388255532776,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.29999999999999999,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.30035196025900002,0.055117318821000003,0.21664686114600001,0.388255532776,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.29999999999999999,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.18027818693299999,0.037454383559,0.12551028544000001,0.24447698431500001,0.090871241231000002,False,0.089406945702000001,0.29802315233999999,0.60092728977599996,0.124847945197,
primary,equity,0.29999999999999999,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.18027818693299999,0.037454383559,0.12551028544000001,0.24447698431500001,0.090871241231000002,False,0.089406945702000001,0.29802315233999999,0.60092728977599996,0.124847945197,
primary,equity,0.40000000000000002,ic_injected,design_constant,intended injected IC (design constant theta),0.40000000000000002,0,0.40000000000000002,0.40000000000000002,0,False,0.40000000000000002,,,,injected design constant — ratio to itself not interpreted
primary,equity,0.40000000000000002,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.39387920633599999,0.054266505320999997,0.30082561687499998,0.48024114479199997,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.40000000000000002,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.39387920633599999,0.054266505320999997,0.30082561687499998,0.48024114479199997,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.40000000000000002,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.39387920633599999,0.054266505320999997,0.30082561687499998,0.48024114479199997,0.000470399552,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
primary,equity,0.40000000000000002,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.243201367798,0.048583160296000003,0.16085091380200001,0.32144731020099998,0.090871241231000002,False,0.15233012656700001,0.38082531641799999,0.60800341949500003,0.12145790074,
primary,equity,0.40000000000000002,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.243201367798,0.048583160296000003,0.16085091380200001,0.32144731020099998,0.090871241231000002,False,0.15233012656700001,0.38082531641799999,0.60800341949500003,0.12145790074,
secondary,current_ratio,0,ic_injected,design_constant,intended injected IC (design constant theta),0,0,0,0,0,,,,,,injected design constant — ratio to itself not interpreted
secondary,current_ratio,0,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",-0.0036953751360000002,0.087918017070999999,-0.14971019509200001,0.14461433767199999,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,-0.0036953751360000002,0.087918017070999999,-0.14971019509200001,0.14461433767199999,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",-0.00092177098100000002,0.064282075822000004,-0.108715515133,0.106533410769,-0.00092177098100000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.095308622487000005,0.011272258628,0.077235973425999999,0.111792150127,0.095308622487000005,,,,,,
secondary,current_ratio,0,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.095308622487000005,0.011272258628,0.077235973425999999,0.111792150127,0.095308622487000005,,,,,,
secondary,current_ratio,0.10000000000000001,ic_injected,design_constant,intended injected IC (design constant theta),0.10000000000000001,0,0.10000000000000001,0.10000000000000001,0,False,0.10000000000000001,,,,injected design constant — ratio to itself not interpreted
secondary,current_ratio,0.10000000000000001,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.105410873126,0.087165779272999996,-0.032868307584999999,0.24559102210299999,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.10000000000000001,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.105410873126,0.087165779272999996,-0.032868307584999999,0.24559102210299999,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.10000000000000001,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.067779573496000001,0.063528520680999997,-0.033277948793999999,0.168012206755,-0.00092177098100000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.10000000000000001,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.101368074339,0.015718433333,0.080549097038999998,0.12895377002299999,0.095308622487000005,True,0.0060594518519999996,,,,theta=0 background dominates
secondary,current_ratio,0.10000000000000001,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.101368074339,0.015718433333,0.080549097038999998,0.12895377002299999,0.095308622487000005,True,0.0060594518519999996,,,,theta=0 background dominates
secondary,current_ratio,0.20000000000000001,ic_injected,design_constant,intended injected IC (design constant theta),0.20000000000000001,0,0.20000000000000001,0.20000000000000001,0,False,0.20000000000000001,,,,injected design constant — ratio to itself not interpreted
secondary,current_ratio,0.20000000000000001,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.197911084164,0.086775269853999998,0.051404812166,0.33694176038200002,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.20000000000000001,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.197911084164,0.086775269853999998,0.051404812166,0.33694176038200002,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.20000000000000001,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.13041902153000001,0.064016151458000006,0.034173720783000003,0.232855343099,-0.00092177098100000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.20000000000000001,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.11804953952699999,0.022788931823,0.084178237094999997,0.15739520205900001,0.095308622487000005,False,0.022740917039999999,0.1137045852,0.590247697633,0.113944659115,
secondary,current_ratio,0.20000000000000001,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.11804953952699999,0.022788931823,0.084178237094999997,0.15739520205900001,0.095308622487000005,False,0.022740917039999999,0.1137045852,0.590247697633,0.113944659115,
secondary,current_ratio,0.29999999999999999,ic_injected,design_constant,intended injected IC (design constant theta),0.29999999999999999,0,0.29999999999999999,0.29999999999999999,0,False,0.29999999999999999,,,,injected design constant — ratio to itself not interpreted
secondary,current_ratio,0.29999999999999999,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.30800850263700003,0.077868860912999993,0.18674271721300001,0.43229479251000003,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.29999999999999999,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.30800850263700003,0.077868860912999993,0.18674271721300001,0.43229479251000003,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.29999999999999999,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.205348505018,0.058900393111000003,0.110774450112,0.30487969814400001,-0.00092177098100000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.29999999999999999,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.14060882026300001,0.029558000958,0.099411548025999996,0.18873710816399999,0.095308622487000005,False,0.045300197776000001,0.15100065925299999,0.46869606754400001,0.098526669858999993,
secondary,current_ratio,0.29999999999999999,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.14060882026300001,0.029558000958,0.099411548025999996,0.18873710816399999,0.095308622487000005,False,0.045300197776000001,0.15100065925299999,0.46869606754400001,0.098526669858999993,
secondary,current_ratio,0.40000000000000002,ic_injected,design_constant,intended injected IC (design constant theta),0.40000000000000002,0,0.40000000000000002,0.40000000000000002,0,False,0.40000000000000002,,,,injected design constant — ratio to itself not interpreted
secondary,current_ratio,0.40000000000000002,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.40186504185400002,0.077038793004000003,0.281002526699,0.53320624852800003,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.40000000000000002,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.40186504185400002,0.077038793004000003,0.281002526699,0.53320624852800003,-0.0036953751360000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.40000000000000002,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.26380389368399998,0.060127707333999997,0.15443153482899999,0.363636184463,-0.00092177098100000002,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
secondary,current_ratio,0.40000000000000002,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.17970025323,0.036672733008000002,0.126609600677,0.23770150956800001,0.095308622487000005,False,0.084391630743000004,0.21097907685699999,0.44925063307399998,0.091681832519000001,
secondary,current_ratio,0.40000000000000002,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.17970025323,0.036672733008000002,0.126609600677,0.23770150956800001,0.095308622487000005,False,0.084391630743000004,0.21097907685699999,0.44925063307399998,0.091681832519000001,
sanity,equity,0.90000000000000002,ic_injected,design_constant,intended injected IC (design constant theta),0.90000000000000002,0,0.90000000000000002,0.90000000000000002,,,,,,,injected design constant — ratio to itself not interpreted
sanity,equity,0.90000000000000002,ic_raw_carrier,identity_invariant,"identity/invariant checkpoint: realized IC of the carrier column in the raw CSV, observed cells only, before feature construction",0.90458360284299999,0.010812547687999999,0.88659839989400002,0.92064172753399998,,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
sanity,equity,0.90000000000000002,ic_panel_carrier,identity_invariant,identity/invariant checkpoint: IC of the carrier after build_panel's within-year rank-percentile normalization,0.90458360284299999,0.010812547687999999,0.88659839989400002,0.92064172753399998,,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
sanity,equity,0.90000000000000002,ic_model_input_carrier,identity_invariant,"identity/invariant checkpoint: IC of the carrier column as the model actually receives it, after NaN -> 0.5 rank imputation, full cross-section",0.90458360284299999,0.010812547687999999,0.88659839989400002,0.92064172753399998,,,,,,,identity/invariant checkpoint — attenuation ratio not interpreted
sanity,equity,0.90000000000000002,ic_model_prediction,substantive_transition,substantive transition: IC of the fitted ridge prediction vector against the realized target,0.76399636516000002,0.016663222796999999,0.73654916846499996,0.78909744540799998,,,,,0.84888485017799997,0.018514691997,
sanity,equity,0.90000000000000002,ic_final_evaluation,evaluation_identity,evaluation identity checkpoint: pooled IC as reported by the governed significance machinery,0.76399636516000002,0.016663222796999999,0.73654916846499996,0.78909744540799998,,,,,0.84888485017799997,0.018514691997,
