ticker,year,ml_score,ml_rank,prediction,target_name,model_name,score_source,notes
EREGL,2025,0.6323,19,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
RGYAS,2025,0.6303,20,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TAVHL,2025,0.6269,21,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ALBRK,2025,0.6265,22,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
CCOLA,2025,0.6239,23,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ENJSA,2025,0.6225,24,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TURSG,2025,0.6151,25,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ULKER,2025,0.5983,26,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TOASO,2025,0.5966,27,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SAHOL,2025,0.5956,28,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
DSTKF,2025,0.5938,29,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ANHYT,2025,0.5819,30,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ARCLK,2025,0.5808,31,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
AEFES,2025,0.5777,32,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TUPRS,2025,0.5762,33,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
AGESA,2025,0.5744,34,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TSKB,2025,0.5737,35,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
GUBRF,2025,0.5699,36,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
MPARK,2025,0.5604,37,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TBORG,2025,0.5455,38,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
AKSEN,2025,0.5431,39,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TRALT,2025,0.5411,40,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
DOHOL,2025,0.5343,41,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ASTOR,2025,0.5262,42,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
BRSAN,2025,0.5236,43,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
MGROS,2025,0.5224,44,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SKBNK,2025,0.5156,45,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
TRMET,2025,0.5029,46,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
CIMSA,2025,0.5008,47,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
DOAS,2025,0.4971,48,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
OYAKC,2025,0.4951,49,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
AKSA,2025,0.468,50,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
MAVI,2025,0.4547,51,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
KRDMD,2025,0.4465,52,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
LOGO,2025,0.4315,53,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SASA,2025,0.4261,54,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SOKM,2025,0.4218,55,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SELEC,2025,0.4193,56,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
PETKM,2025,0.3863,57,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
BERA,2025,0.3851,58,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
NTGAZ,2025,0.3845,59,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
VESTL,2025,0.3835,60,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
OTKAR,2025,0.3829,61,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
PASEU,2025,0.3768,62,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
KONTR,2025,0.3737,63,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ISGYO,2025,0.3687,64,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ZOREN,2025,0.3549,65,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
KRVGD,2025,0.3301,66,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
BTCIM,2025,0.3298,67,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
DEVA,2025,0.3288,68,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
SMRTG,2025,0.3168,69,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ALARK,2025,0.3163,70,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ODAS,2025,0.3157,71,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
HEKTS,2025,0.291,72,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
MIATK,2025,0.2791,73,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
KUYAS,2025,0.2695,74,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
CANTE,2025,0.2632,75,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
CEMTS,2025,0.2631,76,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
NETAS,2025,0.2614,77,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
PRKME,2025,0.2319,78,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
AKENR,2025,0.2297,79,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
ULUSE,2025,0.2027,80,,next_year_return_pct,baseline_equal_weight,fallback_rank_score,mean of validated year-T feature percentiles; baseline beats ML on this small/static data
